SBID,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,RACS_0233+37A,21,02:46:56.88,+40:12:33.5498,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.330,7.610,11.900
8537,RACS_0233+37A,22,02:46:44.41,+39:09:33.9098,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.550,7.620,12.000
8537,RACS_0233+37A,23,02:46:32.58,+38:06:35.96,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.920,7.440,11.300
8537,RACS_0233+37A,24,02:46:21.355,+37:03:38.48,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,30.790,7.580,11.200
8537,RACS_0233+37A,25,02:46:10.694,+36:00:40.2098,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.480,7.940,11.800
8537,RACS_0233+37A,26,02:46:00.569,+34:57:39.82,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,24.910,7.970,11.800
8537,RACS_0233+37A,27,02:40:52.944,+34:59:23.24,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,25.390,8.090,10.200
8537,RACS_0233+37A,28,02:35:45.31,+35:00:14.94,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,25.350,8.140,9.000
8537,RACS_0233+37A,29,02:30:37.668,+35:00:14.94,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,25.060,8.140,8.100
8537,RACS_0233+37A,30,02:25:30.034,+34:59:23.24,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,24.930,8.140,6.900
8537,RACS_0233+37A,31,02:20:22.409,+34:57:39.82,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,24.790,8.160,5.800
8537,RACS_0233+37A,32,02:20:12.283,+36:00:40.2098,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.260,8.120,5.500
8537,RACS_0233+37A,33,02:20:01.622,+37:03:38.48,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.380,8.040,5.700
8537,RACS_0233+37A,34,02:19:50.398,+38:06:35.96,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.850,7.850,5.700
