SBID,OBS_FREQ,FIELD_NME,BEM,R_HMS,DEC_DMS,DTEOBS,DTEEND,NINT,BMJ,BMIN,BP
45536,887.5,VAST_1600-50,14,15:50:04.385,-50:35:40.990,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.3650282850442,11.251691183612015,-6.56006550561713
45536,887.5,VAST_1600-50,15,15:50:17.285,-49:32:43.190,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.257654985239668,11.281201206740027,-6.47648211867674
45536,887.5,VAST_1600-50,16,15:44:28.560,-47:24:06.620,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,13.977509281123933,11.269694825193817,-4.08545670224838
45536,887.5,VAST_1600-50,17,15:50:40.946,-47:26:43.980,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,13.985476750823004,11.282479019070191,-6.24697774464689
45536,887.5,VAST_1600-50,18,15:56:53.616,-47:28:02.640,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.02802975988306,11.329638408627911,-8.39198038856041
45536,887.5,VAST_1600-50,19,16:03:06.384,-47:28:02.640,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.041338308215703,11.358228626112131,-10.6187141004681
45536,887.5,VAST_1600-50,20,16:09:19.054,-47:26:43.980,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.045032358429868,11.373676613335656,-12.9077331708187
45536,887.5,VAST_1600-50,21,16:15:31.440,-47:24:06.620,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.097425536170142,11.431472149428552,-15.2613797433051
45536,887.5,VAST_1600-50,22,16:15:50.561,-48:27:04.140,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.217535865971907,11.413163308156092,-15.4660316981576
45536,887.5,VAST_1600-50,23,16:16:10.802,-49:29:59.350,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.372644483947385,11.424852575784683,-15.6041111573639
