SBID,OBS_FREQ,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,864.5,RACS_0202+37A,33,01:49:23.326,+37:03:38.48,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.82,8.1,-4.8
8537,864.5,RACS_0202+37A,34,01:49:12.098,+38:06:35.96,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,28.11,7.91,-4.8
8537,864.5,RACS_0202+37A,35,01:49:00.271,+39:09:33.9098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,28.75,7.85,-5.0
8537,864.5,RACS_0233+37A,0,02:30:31.26,+38:09:17.3498,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,28.17,7.91,8.2
8537,864.5,RACS_0233+37A,1,02:35:51.72,+38:09:17.3498,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.87,7.82,9.5
8537,864.5,RACS_0233+37A,2,02:30:33.506,+37:06:17.6,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.6,8.02,8.2
8537,864.5,RACS_0233+37A,3,02:35:49.471,+37:06:17.6,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.67,7.99,9.4
8537,864.5,RACS_0233+37A,4,02:25:03.708,+39:11:23.14,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.5,7.87,7.0
8537,864.5,RACS_0233+37A,5,02:30:28.891,+39:12:17.7502,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,33.61,7.59,7.8
8537,864.5,RACS_0233+37A,6,02:35:54.086,+39:12:17.7502,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.76,7.79,9.2
8537,864.5,RACS_0233+37A,7,02:41:19.27,+39:11:23.14,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.92,7.8,10.7
8537,864.5,RACS_0233+37A,8,02:41:12.168,+38:08:23.5702,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.96,7.62,10.1
8537,864.5,RACS_0233+37A,9,02:41:05.426,+37:05:24.58,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.35,7.91,10.6
8537,864.5,RACS_0233+37A,10,02:40:59.026,+36:02:24.9,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.66,8.05,10.0
8537,864.5,RACS_0233+37A,11,02:35:47.338,+36:03:17.24,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.58,8.12,9.0
8537,864.5,RACS_0233+37A,12,02:30:35.642,+36:03:17.24,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.34,8.15,8.1
8537,864.5,RACS_0233+37A,13,02:25:23.952,+36:02:24.9,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.29,8.16,6.7
8537,864.5,RACS_0233+37A,14,02:25:17.551,+37:05:24.58,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.55,8.09,7.0
8537,864.5,RACS_0233+37A,15,02:25:10.812,+38:08:23.5702,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,28.09,7.94,7.0
8537,864.5,RACS_0233+37A,16,02:19:26.098,+40:12:33.5498,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,30.86,7.8,5.5
8537,864.5,RACS_0233+37A,17,02:24:56.22,+40:14:24.54,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.07,7.81,7.0
8537,864.5,RACS_0233+37A,18,02:30:26.393,+40:15:20.02,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,34.28,7.59,7.9
8537,864.5,RACS_0233+37A,19,02:35:56.585,+40:15:20.02,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,30.85,7.58,9.5
8537,864.5,RACS_0233+37A,20,02:41:26.758,+40:14:24.54,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.11,7.46,10.7
8537,864.5,RACS_0233+37A,21,02:46:56.88,+40:12:33.5498,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.33,7.61,11.9
8537,864.5,RACS_0233+37A,22,02:46:44.41,+39:09:33.9098,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.55,7.62,12.0
8537,864.5,RACS_0233+37A,23,02:46:32.58,+38:06:35.96,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.92,7.44,11.3
8537,864.5,RACS_0233+37A,24,02:46:21.355,+37:03:38.48,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,30.79,7.58,11.2
8537,864.5,RACS_0233+37A,25,02:46:10.694,+36:00:40.2098,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.48,7.94,11.8
8537,864.5,RACS_0233+37A,26,02:46:00.569,+34:57:39.82,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,24.91,7.97,11.8
8537,864.5,RACS_0233+37A,27,02:40:52.944,+34:59:23.24,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,25.39,8.09,10.2
8537,864.5,RACS_0233+37A,28,02:35:45.31,+35:00:14.94,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,25.35,8.14,9.0
8537,864.5,RACS_0233+37A,29,02:30:37.668,+35:00:14.94,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,25.06,8.14,8.1
8537,864.5,RACS_0233+37A,30,02:25:30.034,+34:59:23.24,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,24.93,8.14,6.9
8537,864.5,RACS_0233+37A,31,02:20:22.409,+34:57:39.82,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,24.79,8.16,5.8
8537,864.5,RACS_0233+37A,32,02:20:12.283,+36:00:40.2098,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.26,8.12,5.5
8537,864.5,RACS_0233+37A,33,02:20:01.622,+37:03:38.48,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.38,8.04,5.7
8537,864.5,RACS_0233+37A,34,02:19:50.398,+38:06:35.96,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.85,7.85,5.7
8537,864.5,RACS_0233+37A,35,02:19:38.568,+39:09:33.9098,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.26,7.8,5.7
8537,864.5,RACS_0249+31A,0,02:46:56.285,+31:54:22.86,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.63,8.54,1.3
8537,864.5,RACS_0249+31A,1,02:51:53.124,+31:54:22.86,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.36,8.52,2.4
8537,864.5,RACS_0249+31A,2,02:46:57.936,+30:51:23.08,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.99,8.84,1.5
8537,864.5,RACS_0249+31A,3,02:51:51.475,+30:51:23.08,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.01,8.82,2.7
8537,864.5,RACS_0249+31A,4,02:41:54.218,+32:56:40.2698,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.57,8.45,0.2
8537,864.5,RACS_0249+31A,5,02:46:54.547,+32:57:23.26,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,26.13,8.09,1.5
8537,864.5,RACS_0249+31A,6,02:51:54.864,+32:57:23.26,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.6,8.38,2.4
8537,864.5,RACS_0249+31A,7,02:56:55.19,+32:56:40.2698,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.65,8.43,3.7
8537,864.5,RACS_0249+31A,8,02:56:49.975,+31:53:40.34,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,24.93,8.2,3.4
8537,864.5,RACS_0249+31A,9,02:56:45.029,+30:50:41.06,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.76,8.77,3.9
8537,864.5,RACS_0249+31A,10,02:56:40.332,+29:47:41.06,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.32,8.84,3.6
8537,864.5,RACS_0249+31A,11,02:51:49.91,+29:48:22.64,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.33,8.91,2.4
8537,864.5,RACS_0249+31A,12,02:46:59.501,+29:48:22.64,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.13,8.92,1.4
8537,864.5,RACS_0249+31A,13,02:42:09.077,+29:47:41.06,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.08,8.85,0.1
8537,864.5,RACS_0249+31A,14,02:42:04.382,+30:50:41.06,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.97,8.84,0.2
8537,864.5,RACS_0249+31A,15,02:41:59.434,+31:53:40.34,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.62,8.53,0.1
8537,864.5,RACS_0249+31A,16,02:36:44.705,+33:58:14.88,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.56,8.32,-0.9
8537,864.5,RACS_0249+31A,17,02:41:48.722,+33:59:42.04,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.58,8.37,0.3
8537,864.5,RACS_0249+31A,18,02:46:52.714,+34:00:25.6,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,27.27,8.0,1.5
8537,864.5,RACS_0249+31A,19,02:51:56.695,+34:00:25.6,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.19,8.22,2.5
8537,864.5,RACS_0249+31A,20,02:57:00.686,+33:59:42.04,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.3,8.08,3.5
8537,864.5,RACS_0249+31A,21,03:02:04.706,+33:58:14.88,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.25,8.16,4.8
8537,864.5,RACS_0249+31A,22,03:01:55.55,+32:55:14.2298,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.14,8.17,4.8
8537,864.5,RACS_0249+31A,23,03:01:46.865,+31:52:15.3502,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,24.77,7.99,4.5
8537,864.5,RACS_0249+31A,24,03:01:38.621,+30:49:16.9702,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,24.05,8.1,4.6
8537,864.5,RACS_0249+31A,25,03:01:30.799,+29:46:17.8702,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.13,8.75,5.2
8537,864.5,RACS_0249+31A,26,03:01:23.376,+28:43:16.72,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.08,8.82,5.2
8537,864.5,RACS_0249+31A,27,02:56:35.878,+28:44:39.12,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.47,8.89,3.6
8537,864.5,RACS_0249+31A,28,02:51:48.425,+28:45:20.34,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.46,8.92,2.2
8537,864.5,RACS_0249+31A,29,02:47:00.986,+28:45:20.34,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.26,8.9,1.2
8537,864.5,RACS_0249+31A,30,02:42:13.534,+28:44:39.12,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.25,8.9,-0.1
8537,864.5,RACS_0249+31A,31,02:37:26.033,+28:43:16.72,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.25,8.9,-1.4
8537,864.5,RACS_0249+31A,32,02:37:18.612,+29:46:17.8702,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.24,8.83,-1.6
8537,864.5,RACS_0249+31A,33,02:37:10.79,+30:49:16.9702,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.88,8.73,-1.0
8537,864.5,RACS_0249+31A,34,02:37:02.546,+31:52:15.3502,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.42,8.33,-1.1
8537,864.5,RACS_0249+31A,35,02:36:53.861,+32:55:14.2298,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.36,8.26,-1.0
8537,864.5,RACS_0303+37A,0,03:01:09.557,+38:09:17.3498,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,28.13,7.91,8.2
8537,864.5,RACS_0303+37A,1,03:06:30.017,+38:09:17.3498,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.83,7.83,9.5
8537,864.5,RACS_0303+37A,2,03:01:11.806,+37:06:17.6,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.56,8.02,8.2
8537,864.5,RACS_0303+37A,3,03:06:27.768,+37:06:17.6,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.63,7.98,9.4
