# example of an input csv file.
# RA and Dec can be in either format shown or decimal degrees.
# required columns are ra and dec. name is optional but recommnded.
# You can include any other columns you like.
name,ra,dec
SN2004gt,12:01:50.37,-18:52:12.7
SN2000cb,16:01:32.15,+01:42:23.0
SN2002dp,23:28:30.12,+22:25:38.8
SN2005al,13:50:01.497,-30:34:42.22
SN1996X,13:18:01.13,-26:50:45.3
SN2007nq,00:57:33.60,-01:23:19.5
SN1995D,09:40:54.753,+05:08:26.16
SN2012ea,17:45:10.40,+18:08:26.8
PS18chg,12:11:31.531,+31:49:56.35
SN2008ae,09:56:03.20,+10:29:58.8
SN2008fp,07:16:32.60,-29:19:31.7
SN2017ckx,07:48:11.010,+28:13:49.04
SN2003hv,03:04:09.32,-26:05:07.5
SN2007ck,18:23:05.59,+29:54:01.0
SN2007Y,03:02:35.92,-22:53:50.1
SN2018aqe,14:35:53.709,+35:17:15.23
SN2007cq,22:14:40.41,+05:04:48.6
SN2011hs,22:57:11.77,-43:23:04.8
SN2002cx,13:13:49.72,+06:57:31.9
SN2007co,18:23:03.60,+29:53:49.6
SN2008A,01:38:17.38,+35:22:13.7
SN2008aq,12:50:30.36,-10:52:01.3
SN1997br,13:20:42.40,-22:02:12.3
SN2006ej,00:38:59.77,-09:00:56.6
SN2008bc,09:38:31.23,-63:58:25.6
SN2009kq,08:36:15.09,+28:04:01.7
SN2001ep,04:57:00.26,-04:45:40.2
SN2007bm,11:25:02.30,-09:47:53.8
SN2007ca,13:31:05.81,-15:06:06.6
SN2006ep,00:41:24.88,+25:29:46.7
SN2009Y,14:42:23.68,-17:14:48.3
CSS170602:213243-120005,21:32:43.195,-12:00:04.75
SN2009al,10:51:22.07,+08:34:42.7
LSQ13dpa,11:01:12.91,-05:50:52.5
SN2015bh,09:09:34.96,+33:07:20.4
SN2003hl,01:59:21.28,+19:00:14.5
SN2007fs,22:01:40.44,-21:30:29.6
SN2011ek,02:25:48.89,+18:32:00.0
SN2008ip,12:57:50.20,+36:22:33.5
SN2004S,06:45:43.50,-31:13:52.5
